TIME,FLUX,FLUX_ERR
0.0,0.9945258601915689,0.006
0.03759398496240601,1.007984779439159,0.006
0.07518796992481203,1.0299004699465624,0.006
0.11278195488721804,1.0358850838061477,0.006
0.15037593984962405,1.03177106273833,0.006
0.18796992481203006,1.046219237455406,0.006
0.22556390977443608,1.041181923174828,0.006
0.2631578947368421,1.062235563086715,0.006
0.3007518796992481,1.0583945440657638,0.006
0.3383458646616541,1.0666814335017312,0.006
0.37593984962406013,1.0615780188401056,0.006
0.41353383458646614,1.0560394768444952,0.006
0.45112781954887216,1.053969675933645,0.006
0.48872180451127817,1.0489238562344343,0.006
0.5263157894736842,1.048177192736543,0.006
0.5639097744360901,1.0339656093872902,0.006
0.6015037593984962,1.0306608946569324,0.006
0.6390977443609023,1.0225310593690307,0.006
0.6766917293233082,1.0029569910573877,0.006
0.7142857142857142,0.9961319524758755,0.006
0.7518796992481203,0.9829629245965926,0.006
0.7894736842105263,0.9816978371597951,0.006
0.8270676691729323,0.9737766047725294,0.006
0.8646616541353382,0.9702494211681164,0.006
0.9022556390977443,0.9530720675581162,0.006
0.9398496240601504,0.943864254139785,0.006
0.9774436090225563,0.9434741001148996,0.006
1.0150375939849623,0.94524464313027,0.006
1.0526315789473684,0.950957213851643,0.006
1.0902255639097744,0.940610582416867,0.006
1.1278195488721803,0.9347017750506184,0.006
1.1654135338345863,0.9458146767073217,0.006
1.2030075187969924,0.9479860159488241,0.006
1.2406015037593985,0.9529269824216222,0.006
1.2781954887218046,0.9513125797444789,0.006
1.3157894736842104,0.9694184270546208,0.006
1.3533834586466165,0.9727946947948042,0.006
1.3909774436090225,0.9819546312440584,0.006
1.4285714285714284,0.9998386855529124,0.006
1.4661654135338344,1.007685269419653,0.006
1.5037593984962405,1.0070275998564504,0.006
1.5413533834586466,1.0321544695190201,0.006
1.5789473684210527,1.0380980586556805,0.006
1.6165413533834585,1.0345826441667991,0.006
1.6541353383458646,1.0332939617949557,0.006
1.6917293233082706,1.0541039010180524,0.006
1.7293233082706765,1.0577492003243,0.006
1.7669172932330826,1.0532458527799888,0.006
1.8045112781954886,1.0709045057001434,0.006
1.8421052631578947,1.0588531546502329,0.006
1.8796992481203008,1.057263631437371,0.006
1.9172932330827066,1.055957051632174,0.006
1.9548872180451127,1.0562934449228638,0.006
1.9924812030075187,1.0443914811891217,0.006
2.0300751879699246,1.0357328900784475,0.006
2.0676691729323307,1.018236779625937,0.006
2.1052631578947367,1.0177410775848488,0.006
2.142857142857143,1.016391688741821,0.006
2.180451127819549,0.9945783114951081,0.006
2.218045112781955,0.9896567302309524,0.006
2.2556390977443606,0.960959022326965,0.006
2.2932330827067666,0.9791361710541054,0.006
2.3308270676691727,0.9618578432802976,0.006
2.3684210526315788,0.9544171138825431,0.006
2.406015037593985,0.9526007002508823,0.006
